Abarth,500,,Abarth500
Abarth,Grande Punto,,AbarthGrande Punto
Alfa Romeo,147,2.0,Alfa Romeo1472.0
Alfa Romeo,147,1.6 (120 bhp),Alfa Romeo1471.6 (120 bhp)
Alfa Romeo,147,1.9 JTDM,Alfa Romeo1471.9 JTDM
Alfa Romeo,147,1.9 JTDM 16v,Alfa Romeo1471.9 JTDM 16v
Alfa Romeo,147,1.9 JTDM 16v (170 bhp),Alfa Romeo1471.9 JTDM 16v (170 bhp)
Alfa Romeo,159,1.8 MPI,Alfa Romeo1591.8 MPI
Alfa Romeo,159,1.9 JTDM 16v,Alfa Romeo1591.9 JTDM 16v
Alfa Romeo,159,1.9 JTDM 16v QTronic,Alfa Romeo1591.9 JTDM 16v QTronic
Alfa Romeo,159,1750 TBi (200),Alfa Romeo1591750 TBi (200)
Alfa Romeo,159,2.0 JTDm 16v (170),Alfa Romeo1592.0 JTDm 16v (170)
Alfa Romeo,159,2.2 JTS,Alfa Romeo1592.2 JTS
Alfa Romeo,159,2.4 JTDM,Alfa Romeo1592.4 JTDM
Alfa Romeo,159,2.4 JTDM Q4 (4x4),Alfa Romeo1592.4 JTDM Q4 (4x4)
Alfa Romeo,159,2.4 JTDM QTronic,Alfa Romeo1592.4 JTDM QTronic
Alfa Romeo,159,3.2 JTS V6 (4x2),Alfa Romeo1593.2 JTS V6 (4x2)
Alfa Romeo,159,3.2 JTS V6 Q4 (4x4),Alfa Romeo1593.2 JTS V6 Q4 (4x4)
Alfa Romeo,159,3.2 JTS V6 Q4 (4x4) QTronic,Alfa Romeo1593.2 JTS V6 Q4 (4x4) QTronic
Alfa Romeo,159 Sportwagon,1.8 MPI,Alfa Romeo159 Sportwagon1.8 MPI
Alfa Romeo,159 Sportwagon,1.9 JTDM 16v,Alfa Romeo159 Sportwagon1.9 JTDM 16v
Alfa Romeo,159 Sportwagon,1.9 JTDM 16v QTronic,Alfa Romeo159 Sportwagon1.9 JTDM 16v QTronic
Alfa Romeo,159 Sportwagon,1750 TBi (200),Alfa Romeo159 Sportwagon1750 TBi (200)
